provider,email,telephone,website,address
TRINITY BUSINESS CONSULTING PLT,ck.lim@trinitylearnings.com,60124826282,,
MARVELLOUS HALLMARK SDN. BHD.,sales.marvellous@outlook.com,60127909026,,
SCIICS SDN. BHD.,sherif@sciics.com,60327056592,,
Y COACHING ACADEMY PLT,ycoachingacademy@gmail.com,6585751550,,
CK TAN CONSULTANCY,cktan.consult@gmail.com,60162682206,,
UNITED CERTIFICATION SERVICES SDN. BHD.,malaysia@unicert.co.uk,60327121237,,
IN VALUE MASTER TRAINING SDN. BHD.,comsec.work@gmail.com,60182848838,,
360DIGITMG SDN. BHD.,lavanya@360digitmg.com,6.01138E+11,,
GEMIRIS CONSULTANCY,rose@gemiris.com,60192171117,,
TALOGY (MALAYSIA) SDN. BHD.,sarah.zulkefle@talogy.com,60133245495,,
HELIO CONSULTING & TRAINING PLT,helioconsulting@outlook.com,60108121388,,
SHIFT SENSORY DISCOVERY PLT,sally.yapcy@gmail.com,6.01111E+11,,
AGENSI PEKERJAAN RSH SDN. BHD.,accounts@rshconsult.com,60327796885,,
SELEKSI KENTAL SDN. BHD.,hr@isikhlassuci.com,60178795103,,"UNIT 5-03A 5TH FLOOR,WISMA TAN KIM SAN,NO 518A,3RD MILE,JALAN SULTAN AZLAN SHAH,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-51200"
TBUN NETWORK SDN. BHD.,tbunnetwork@gmail.com,60163965688,,"A-03-09,GALERIA HARTAMAS,JALAN 26A/70A,,DESA SRI HARTAMAS,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-50480"
LWA ACADEMY,lwa.enquiry@gmail.com,60362063288,,
KAZE PLT,khaizen@nlpcoach.my,60123008683,,
THE MALAYSIAN WATER ASSOCIATION,johari@mwa.org.my,60362012250,,
EXPERIENCE ENABLERS PLT,michelle@experienceenablers.com,60198205889,,
PINNACLE AERO CONSULTANCY & TRAINING,razaliidris1907@gmail.com,60126905407,,
ASTRAEDGE CONSULTANCY & TRAINING,prudence8989@gmail.com,6.01159E+11,,
COSMIC TRAINING & CONSULTANCY ENTERPRISE,shanthi.samy@gmail.com,60123010809,,
ENERGEM ADVISORY SERVICES SDN. BHD.,sharmila@energemadvisory.com,60163866499,,
SJ3 SERVICES SDN. BHD.,sj2services20@gmail.com,60173968512,,
SHERAHISHAM MEDIA SDN. BHD.,fazrul@sheraconsultancy.com,60195256935,,
OMNISOV SDN. BHD.,amanda.lim@omnisov.my,60123036716,,
CATALYST ADVISORY SERVICES SDN. BHD.,lee_chiayee@hotmail.com,60184092567,,
APPLE ACADEMY SDN. BHD.,hello.appleacademy@gmail.com,60163066336,,
DI PURBA INTERNATIONAL SDN. BHD.,raihan@mnconsults.com,60196412972,,
CENDEKIA PRO SDN. BHD.,cendekiapro@outlook.com,60167156659,,
THIRD OPINION PARTNERS SDN. BHD.,sookleng.chong@thirdopinionpartners.com,6019 354 0111,,
AL-AMEEN SERVE HOLDINGS SDN. BHD.,admin@alameenserve.com,60341434343,,
LIFE YCC SDN. BHD.,life.ycc.co@gmail.com,60323811950,,
CKP DIGITAL CORPORATE SERVICES SDN. BHD.,jeremy.chia@ckpartners.com.my,60197530398,,
NEUTRON GROUP SDN. BHD.,mnazrin@neutron.my,60123706182,,
DIGITAL X BRANDING SDN. BHD.,digitalxbranding@gmail.com,60164445761,,
XTTACK EVENT MANAGEMENT SDN. BHD.,ryanheng@xttack.com,60163954217,,
KOPERASI USAHAWAN DIGITAL MALAYSIA BERHAD,koperasikeusahawanan@gmail.com,60123361813,,
TOSHI SDN. BHD.,finance@toshi.com.my,60327879191,,"SUITE 9.3(A) LEVEL 9,,WISMA CHASE PERDANA,JALAN SEMANTAN,BUKIT DAMANSARA,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-50490"
TALENTED CONSULTING SDN. BHD.,admin@talent-ed.my,6.0111E+11,,
BODY FOR LIFE SDN. BHD.,simone.quinten@gmail.com,60126272444,,
WISDOM VIDE TRAINING & SOLUTIONS SDN. BHD.,wisdomvide9@gmail.com,60123183728,,
MRLAB SDN. BHD.,johnson.tan@pinnacleanalytics.com.my,60162121000,,
NEXT EDVANTAGE SDN. BHD.,sharonymchan@gmail.com,60173317803,,
LUNIX LUMINOUS SDN. BHD.,lumeduoperation@gmail.com,60182773099,,
MALAYSIAN DYNAMIC MEDIA SDN. BHD.,jakeabdullah@yahoo.com,60123831294,,"13-5,KIARA 9 RESIDENCY,JALAN KIARA 3,MONT KIARA,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-50480"
DNYH INTERNATIONAL SDN. BHD.,dnyh86152@gmail.com,60127971520,,
ELITE ASIA LOCALISATION (MY) SDN. BHD.,natasha.gamar@eliteasia.co,6581883964,,
EVERBEST MEDIA SDN. BHD.,everbestmedia@yahoo.com,60126668453,,
LIBERATION TRAINING & DEVELOPMENT,fntz.facilitator@gmail.com,60199101019,,
GC MANAGEMENT VENTURES SDN. BHD.,admin@growthcharger.com,60182497626,,
IMTC GLOBAL SDN. BHD.,training@imtc.my,60320240470,,
REHEAL GROUP SDN. BHD.,rehealgroupsb@gmail.com,60183157884,,
TAB SECURITY SDN. BHD.,management.tabs@gmail.com,60391083538,,
ADVANCE GOALS SDN. BHD.,eyan@advance-goals.com,60184670510,,
CCI COACHING CULTURE INTERNATIONAL SDN. BHD.,Jayshumwy@outlook.com,60122993523,,
OMY SDN. BHD.,omy.onlin3@gmail.com,60169188881,,
BAWATANA SDN. BHD.,hardeshsingh@gmail.com,60122888074,,"ARAS 3, BLOCK C, THE FIVE @ KPD,KOMPLEKS PEJABAT DAMANSARA,49, JALAN DUNGUN,,BUKIT DAMANSARA,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-50490"
ISPRING SOLUTIONS,admin@ispringsolutions.my,60182886500,,
YK CORPORATE CONSULTANTS SDN. BHD.,wong@yk.com.my,60362726933,,"NO 37,JALAN 9/62A,BANDAR MENJALARA,KEPONG,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-52200"
WELLBEING PSYCHOLOGY AND NUTRITION GROUP SDN. BHD.,general@wellbeingcenter.org,60179313116,,
MKH ACADEMY SDN. BHD.,admin@mk-hospitality.my,60340313991,,
QUICKPRO SOLUTIONS SDN. BHD.,finance@quickpro.com.my,60377279986,,
SMART INSTRUMENTS (M) SDN. BHD.,contact@smartinstruments.com.my,60126362884,,
TASHIN TRAVEL SDN. BHD.,ghlim@tashintravel.com,60193672354,,
LTL SUCCESS RESOURCES,learningtolearn.ltl@gmail.com,60179018717,,
ACCSYS CONSULT SDN. BHD.,celes@accsysgroup.com,60122732274,,
TIME COST MANAGEMENT SDN. BHD.,office@timecost.my,60397643779,,
EVE M SOLUTION,eve@evesolution.com.my,60125876834,,
IES INTERNATIONAL ENGLISH STANDARD SDN. BHD.,georgelau12@gmail.com,60163220951,,
MERCER (MALAYSIA) SDN. BHD.,elina.samad@mercer.com,60327874900,,
LAW PARTNERSHIP CONSULTANCY SDN. BHD.,talent@lawsenb.com,60392122799,,
ASIANKOM COMMUNICATION (M) SDN. BHD.,komati@asiankom.com,60389661030,,
EHSAN JAYA VENTURES SDN. BHD.,jscorp_2009@yahoo.com,60341425100,,
TVG COACHING AND TRAINING SDN. BHD.,tvgcoachingandtrainingsdnbhd@gmail.com,60323857289,,
DREAM TRUE EMPIRE,support@dreamtrue.com.my,6.01111E+11,,
INTERGER ACADEMY,intergeracademy@gmail.com,60193734932,,
TIVAARAA SKILL EMPIRE ( M ) SDN. BHD.,tivaaraaskillempire@gmail.com,60169664379,,
QAMAR CONSULTANCY,azizulman@gmail.com,60129841100,,
AURUMCOV SDN. BHD.,daphne.au03@gmail.com,60164882604,,
BEINCLARITY SDN. BHD.,josephine@beinclarity.com,60123230710,,
AGENSI PEKERJAAN JOBSTORE SDN. BHD.,training@jobstore.com,60327165199,,
NEXIFY ASIA SDN. BHD.,kishen@nexifyasia.com,60193348730,,
MENSILIN JV SDN. BHD.,mensilingoc@gmail.com,60129129989,,
THE WAYMAKER ACADEMY PLT,connect@thewaymaker.my,60168780603,,
MINDTOMIND MASTERY SOLUTION,mind2mindmastery@gmail.com,60137461319,,
LEADBRAND ACADEMY,shalini.mdmt@gmail.com,60175802027,,
MY SUPER TRAINING SDN. BHD.,mysupertraining@gmail.com,60126846101,,
ICC ACADEMY SDN. BHD.,christine.lim@iccacademy.com.sg,6598333679,,
TRANSFER PRICING GPS SDN. BHD.,tpgps1223@outlook.com,6.01138E+11,,
CYCROWD SDN. BHD.,leehanther@gmail.com,60126340675,,
PKN GLOBAL ENTERPRISE,raghavanmu@gmail.com,60126999296,,
SEPHINE CONSULTING PLT,josephine@sephineconsulting.com,60193977920,,
CENTRIC GROWTH SDN. BHD.,centricgrowth25@gmail.com,60356115165,,
PERTUBUHAN KEBAJIKAN PETUGAS FELDA PLANTATION MANAGEMENT SDN BHD MALAYSIA (PKPFPM),firdaus.an@felda.net.my,60193593287,,
QUBE INTEGRATED MALAYSIA SDN. BHD.,aida@qube.com.my,60192477931,,
EDUKASI MAJU SDN. BHD.,survinder@knowledgegroupco.com,60129155803,,
DASHINSIGHTS SDN. BHD.,vani@act2.life,6.01221E+11,,
TALENTMIND ASIA PLT,ch.leong1@gmail.com,60169652611,,
SAPIENT ENTERPRISE,sapiententerprise05@gmail.com,60122877728,,
AK TRAINING ACADEMY,admin@aktrainingacademy.com,60137212824,,
INTERNATIONAL GREEN TECHNOLOGIES RESEARCH & DEVELOPMENT INSTITUTE,sam@igreentech.org,6.01115E+11,,
COMPANA INTERNATIONAL SDN. BHD.,thomas@compana.asia,60380842215,,
EQ ACEDEMY SDN. BHD.,teresa2025.eqacademy@gmail.comcom,60127071560,,
JUSTLOGIN SDN. BHD.,vilashini@justlogin.com,6598590207,,
ACE ASCEND MASTERY ACADEMY PLT,drstanle@gmail.com,60126258286,,"MENARA UOA BANGSAR,LEVEL 9, TOWER B,JALAN BANGSAR UTAMA 1,BANGSAR,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-59000"
TRAININGHUB SDN. BHD.,admin@traininghub.com.my,60103701337,,
MEDNESS 7 EVENTS SDN. BHD.,medisonyeap02@gmail.com,60168223494,,
FGV AGRI SERVICES SDN. BHD.,ishaffiq.i@fgvholdings.com,60178569857,,
JALAL JOHARI CONSULTANTS INSTRUMENTS SDN. BHD.,sales@jalalconsults.com,60327017763,,"UG-13A, LEXA GALLERIA,,NO. 45, JALAN 34/26,TAMAN SRI RAMPAI,SETAPAK,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-53300"
MOVEMENT DYNAMICS FITNESS PLT,movementdynamicsfit@gmail.com,60169695851,,
REHAMED HEALTHCARE SDN. BHD.,physioasiamal@gmail.com,60362031001,,
LI INTERNATIONAL CERTIFICATION SDN BHD,ansontpo11@gmail.com,60182803789,,
INTERNATIONAL SOCIETY FOR PHARMACEUTICAL ENGINEERING (MALAYSIA),ispe.malaysia@gmail.com,60146405200,,
FYV CORPORATE CONSULTANCY SDN. BHD.,fyvconsultancy@gmail.com,60174660908,,
MONDESA SDN. BHD.,mondesa.team@gmail.com,60194451453,,
"ASTON UNIVERSITY ALUMNI ASSOCIATION, MALAYSIA",mustazasalim@yahoo.com,60193832873,,
GREENTERN TECHNOLOGIES (M) SDN. BHD.,survinder@knowledgegroupco.com,60386841588,,
EARLY AUTISM PROJECT MALAYSIA SDN. BHD.,admin@autismmalaysia.com,60322010251,,
PRICEWATERHOUSECOOPERS ASSOCIATES SDN. BHD.,my_learning_and_development_mis@pwc.com,60183998286,,"LEVEL 10, 1 SENTRAL,,JALAN RAKYAT,,KUALA LUMPUR SENTRAL,,P.O.BOX 10192,,WIALYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-50706"
AGENSI PEKERJAAN KAALI HR SDN. BHD.,sid.prabagaran@kaalihr.com,60162117475,,
USIS (M) SDN. BHD.,hrdc@usis.my,60106638658,,
COREADV SDN. BHD.,nick@coreadv.ai,60162283242,,
AITALENT CONSULTANCY SERVICE,yhchan30@gmail.com,60104392389,,
KLEM WELLNESS SDN. BHD.,krenashree@klemclinic.com,6.01112E+11,,
KLICH SDN. BHD.,training@klichgroup.com,60123256159,,
ECO THINKERS ESG CONSULTING AND TRAINING SDN. BHD.,saleh@ecothinkers.net,+60 17-657 2718,,
CORE INNOVATIVE SDN. BHD.,COREINN.INFOR@GMAIL.COM,60109451599,,
EDWARD YIN ACADEMY SDN. BHD.,qiulin.yong@kymesra.com,60192251545,,
CEKAP TECHNICAL SERVICES SDN. BHD.,headoffice@cekaptechnical.com,60342562286,,
HAYAT TECHNOLOGIES SDN. BHD.,fatihah@myhayat.my,60177007641,,
OFFICIAL RESOURCES,officialresources@gmail.com,6.01133E+11,,
WALNUT EDUCATION SDN. BHD.,ericseaton@walnutedutech.com,60186448862,,"VO3-10-23A,,SUNWAY VELOCITY DESIGNER OFFICE,,LINGKARAN SV, SUNWAY VELOCITY,,JALAN COCHRANE,,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-55100"
6XERS CONSULTING SDN. BHD.,wayne@6xersconsulting.com,60162201589,,
MANAF GARDNER ASSOCIATES SDN. BHD.,joshua@manafgardner.com,60330010326,,
POKI CONSULTING PLT,SARAH@KARBONHERO.COM,60149316430,,
GOUDEN RICHE INTERACTIVE,kaveen@goudenricheinteractive.com,6.01127E+11,,
SHANG YUE SDN. BHD.,huimumusan@gmail.com,60166224976,,
METEORSOFT SDN. BHD.,admin@meteorsoft.com,60122901455,,
IGO SDN. BHD.,enquiry@igo.gold,6.01121E+11,,"LEVEL 23,,MENARA EXCHANGE 106,,LINGKARAN TRX,TUN RAZAK EXCHANGE,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-55188"
SEDIA TEGUH SDN. BHD.,hr-admin@sediateguh.com.my,60341444096,,
NEW YORK PROFESSIONAL TRAINING RESEARCH & TOURISM DEVELOPMENT (M) SDN. BHD,felixbosken@professionaltraining.com.my,60146239110,,
CRUX EDUCATION SDN. BHD.,admin@crux.institute,60125680126,,
IN.CORP GLOBAL (M) SDN. BHD.,josephinelim@incorp.asia,60378902833,,
GTS TAX SERVICES SDN. BHD.,thishasgunasilan@yahoo.com,60172546776,,
UNSUR JQ CONSULTANCY SDN. BHD.,sherine911@yahoo.com,60162839976,,
GIACC SDN. BHD.,zanariahma@gmail.com,60123674720,,
MERDEKA DINAMIK ENTERPRISE,firdaus.whwong@gamil.com,61076479978,,
THE WE GATEWAY PLT,thewegateway@gmail.com,60107888418,,
VIRTUAL X SDN. BHD.,hello@virtualx.my,60173707530,,
KRESTON TRAINING (M) SDN. BHD.,daniel@kreston.com.my,60127573297,,
BAYU IGNITRA SDN. BHD.,bayuignitra@gmail.com,60132855193,,
NADDIA CONSULTING GROUP SDN. BHD.,COO@naddia.co,60196988883,,
TRICORE TRAINING SOLUTION,vanessafoo0504@gmail.com,60122990182,,
SASHA VENTURES PLT,sashatan.mx@gmail.com,60126778511,,
ABLETECH SOLUTIONS & TRAINING CENTRE SDN. BHD.,satia@rbacademy.edu.my,60163019788,,
SALON SITI ALZAHRAH,sitisalonalzahrahhq@gmail.com,60341316386,,
WEALTHFORT INTERNATIONAL SDN. BHD.,shanechoo@mywealthfort.com,60164332917,,
SS VICTORY TRADES SDN. BHD.,ssvictorytrade@gmail.com,60166400777,,
EUGROW HOLDINGS SDN. BHD.,meilin@eu-grow.com,60107604429,,
CORPORATE SECURITY SOLUTIONS SDN. BHD.,rross@cssolutions.com.my,60327262848,,
TALENTPACE TECHNOLOGIES (M) SDN. BHD.,sivakumarkaveen@gmail.com,6.01127E+11,,
READY2WORK ASIA SDN. BHD.,balaji@ready2workasia.com,60182598076,,
KLOUDWERX INTELLIGENCE SDN. BHD.,karthigeyan.suderam@pimato.com,6.01111E+11,,"UNIT 11-12, LEVEL 11,,TOWER A,,VERTICAL BUSINESS SUITE AVENUE 3 ,,BANGSAR SOUTH, NO 8, JALAN KERINCHI,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-59200"
GREEN GROWTH ASIA FOUNDATION,balamurugan.rk@greengrowthasia.org,60122166826,,
ELMULAB SDN. BHD.,shahrom.elmulab@gmail.com,60362033098,,
PULSELINK DIGITAL SDN. BHD.,HEZRI@THEPULSELINK.IO,60173338444,,
CHANA BEYOND UPSKILLING SERVICES,gakcatherine16@gmail.com,60132058015,,
OCEAN D SDN. BHD.,zhengyang0917@gmail.com,6.01151E+11,,
ADAPTIVE TRAINING & TRANSFORMATION (M) SDN. BHD.,ashvin@adaptrecruittrain.com.my,60392210070,,
NOVA FORTIS VENTURE,novafortiscorp@gmail.com,60149641327,,
LUMEALINK SDN. BHD.,yikswf@lumealink.com,60123234222,,
THINKTX CONSULTANTS SDN. BHD.,info@thinktx.my,60362629633,,
DERRISEN SDN. BHD.,karen.goi@derrisen.com,60123298302,,
IRFANMG CONSULTANCY AND ENGINEERING SDN. BHD.,munirah@irfanmgconsultant.com,60125355052,,
LEGAL AND BUSINESS ACADEMY OF MALAYSIA SDN. BHD.,rajeswari@rdslawpartners.com,60362095400,,
SUSCICO SDN. BHD.,bmunirah@suscico.com,60163049581,,
WOODEN SPOON PRODUCTION SDN. BHD.,chefjeankl@gmail.com,60189776687,,
EACADEMY SDN. BHD.,ktchan@taxman.com.my,60362434100,,"NO. 97-3A-1,,JALAN METRO PERDANA BARAT 1.,OFF JALAN KUCHING,TAMAN USAHAWAN KEPONG,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-52100"
L&K ACADEMY CONSULTANCY SDN. BHD.,kitsykhor@outlook.com,60125586862,,
IMINDA ACADEMY SDN. BHD.,idros@iminda.com.my,60172000130,,
GAME ON HOLDING SDN. BHD.,tantungjun@gameonthemepark.com,60162469323,,
MUDAH HEALTHTECH SDN. BHD.,info@mudahhealthtech.asia,60134235696,,
SMART MANAGING ACADEMY SDN. BHD.,cheeingchew@gmail.com,60122028897,,
LIFE RANGER ACADEMY,hello@liferanger.com.my,60162376254,,
WE RATHER BEE PLT,weratherbee@gmail.com,60122188963,,
NEURAL OILFIELD SERVICE SDN. BHD.,norain@neudimension.com.my,60341436566,,
RDG SUPPLY SDN. BHD.,ricky.douglas@rdg.asia,60379807788,,
TGM INTERNATIONAL SDN. BHD.,zam@tgm-international.com,60123807025,,"UNIT 996 TINGKAT 9,PLAZA PERMATA,JALAN KAMPAR,SENTUL SELATAN,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-50400"
ARCADIA CONSULTING & LEARNING SDN. BHD.,shyartiana.s@arcadiaconsulting.com,6596515162,,"UPPER PENTHOUSE,,WISMA RKT, NO. 2,,JALAN RAJA ABDULLAH,,OFF JALAN SULTAN ISMAIL,,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-50300"
ATECH SUSTAINABILITY CONSULTANCY SDN. BHD.,Kentphang@atechnologies.com.my,60123765345,,
PILZ MALAYSIA SDN. BHD.,academy.sea@pilz.com,60165573809,,
CLARITAS CONSULTING (ASIA) SDN. BHD.,admin@claritas.asia,60348189506,,
OSH IMAGE ACADEMY SDN. BHD.,enquiry@stylebyosh.com,60177662088,,
SPACE A SDN. BHD.,spaceacentre@gmail.com,60196826602,,
CONDUCTIVITI BUSINESS ADVISORY SDN. BHD.,eddythyap@gmail.com,60129066937,,
SUSTAINABLE INNOVATIONS & TECHNOLOGIES SDN. BHD.,mgsuleiman@gmail.com,60123111746,,
BHUMI LIFESTYLE ACADEMY SDN. BHD.,bill.wong@bhumilifestyle.com,60162386938,,
FUTUREVERSE TECHNOLOGIES SDN. BHD.,rajiv.mathew@futureverse.group,60192659386,,
LEADING WEALTH ADVISORY,lwa.hrdcorp@gmail.com,60123266147,,
MYQUEST ACADEMY (M) SDN. BHD.,norra.mikids@gmail.com,60123657918,,
SUN EDULEAD SDN. BHD.,HR@LEXICONINSTITUTE.COM,60126713151,,
NSA GLAMOROUS TRADING,affiransa@gmail.com,60163307864,,
FEDERASI KOPERASI PERKHIDMATAN KEWANGAN MALAYSIA BERHAD,syazwani@fedkew.com.my,60108927408,,"ARAS 8,MENARA SURUHANJAYA KOPERASI MALAYSIA,CHANGKAT SEMANTAN, OFF JALAN SEMANTAN,BUKIT DAMANSARA,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-50490"
BANK PERTANIAN MALAYSIA BERHAD,smanwar@agrobank.com.my,60327311600,,
PLC EDUCATION SDN. BHD.,info@prince.edu.my,60192599383,,
PERSATUAN SONOGRAFI KECEMASAN DAN KRITIKAL MALAYSIA,drleekeechoon@gmail.com,60175049883,,
NEW ENERGY CENTRE MALAYSIA SDN. BHD.,kellykhiew@atozccgroup.com,60176942026,,
TAT TECHNOLOGIES SDN. BHD.,officeadmin@eduicccm.net,60189626008,,
IIRAI VENTURES SDN. BHD.,wanazman@iiraigroup.com,60122878947,,
INSTITUT KEMAHIRAN MARA KUALA LUMPUR,ikmkualalumpur@mara.gov.my,60392844535,,
RENDEUR SDN. BHD.,Renee.tan@hashtaqs.com,6591051051,,
LEVEL ADVANTAGE BLUEPRINT TRAINING AGENCY,ahmadzdanial@gmail.com,60124491452,,
MAGNA IBN SDN. BHD.,magnaibnsb@gmail.com,60196097498,,
ZEST TRAINING SERVICES,zarafina.rahman@gmail.com,60126149751,,
SOPS BEAUTY ACADEMY SDN. BHD.,syed@patronage.com.my,6.01167E+11,,
SAYS GLOBAL EVENTS,gsilvaratnam@gmail.com,60362000624,,
MNEMONIC CENTRE ENTERPRISE,philomina2808@gmail.com,60129420634,,
NICHOLAS ACTUARIAL SOLUTIONS SDN. BHD.,nicholas.yeo@actomate.ai,60125023566,,
BARAKAH EXCELLENCE SKILLS RESOURCES SDN. BHD.,barakahexcellence@gmail.com,60132096709,,
CES GLOBAL SDN. BHD.,hr@cesglobal.com.my,60379710262,,
SHA ART & CREATIVITY ACADEMY,support@sacacademy.my,60145615197,,
NF CREATIVE MEDIA,career.nfcm@gmail.com,60124263972,,
LIT DIGITAL CREATORS PLT,litdigitalcreators@gmail.com,60143538976,,
TOTAL LIFE EMQR MOTIVATION ACADEMY,emqr.academy@gmail.com,60129782598,,"NO.55-1, JALAN DWI TASIK 2,DATARAN DWI TASIK,BANDAR SRI PERMAISURI,CHERAS,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-56000"
BELLSTECH ACADEMY SDN. BHD.,admin@bellstechacademy.com,60397756028,,
BARISTA GUILD ASIA SDN. BHD.,yilin.bga@gmail.com,60102410541,,
FLORISTY 15 FLOWER DESIGN ACADEMY,floristy15mymanagement@gmail.com,60179292963,,
FIC HOSPITALITY SDN. BHD.,raining@merdekapalace.com,6082258000,,
NEXOR AI SDN. BHD.,kenneth@ainexor.com,60162763319,,
COGNITIVE CONSULTING SDN. BHD.,shabir@cognitive.com.my,60135933720,,"UNIT 2,,LEVEL 25 OVAL DAMANSARA 685,JALAN DAMANSARA,,TAMAN TUN DR ISMAIL,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-60000"
STRATI5 TRAINING & CONSULTANCY SDN. BHD.,strati5malaysia@gmail.com,60162041484,,
TTM ACADEMY SDN. BHD.,hrdc.ttm.academy@gmail.com,60183661010,,
PERBADANAN NASIONAL BERHAD (PERNAS),akmal.abu@pernas.my,60122046006,,
DUO DIGITAL AGENCY,duodigitalagency21@gmail.com,60133279377,,
EDU HUB MALAYSIA SDN. BHD.,inquiry@eduhubmalaysia.com,6.01171E+11,,
YYC OUTSOURCING SDN. BHD.,ananthraj.vimalarajah@yycadvisors.com,60390782868,,
MY MOLEQ MANAGEMENT & SERVICES,mahafiz.yaakob@gmail.com,60123488933,,
JM PAKARUNDING SDN. BHD.,johanmohamad@gmail.com,60109022665,,
ELAVATE TRAINING MALAYSIA SDN. BHD.,michael.griffin@elavateglobal.com,60134524008,,
BZ BEES RESOURCES,jbee77@gmail.com,60123437716,,
MARKMIND CONSULTING SDN. BHD.,anandrajmarkandu@gmail.com,60127719063,,
BITLINK SYSTEM SDN. BHD.,acc@bitlink.com.my,60391001636,,
YSQ CONSULTANCY,vivianysq@gmail.com,60122900868,,
MASTER TRAINER SDN. BHD.,admin@mastertrainer.com.my,60123358385,,"MENARA HEALTH LANE,NO. 984, 986 & 988,,JALAN KAMPUNG BATU,,OFF 5TH MILE, JALAN IPOH,,JALAN IPOH,Kuala Lumpur,Malaysia-51200"
E2 WORKFORCE CONSULTING SDN. BHD.,ika@e2consulting.com.my,60126536262,,
RICH CIRCLE HOLDINGS SDN. BHD.,paktampower@gmail.com,60327796213,,
ASIA PACIFIC UNIVERSITY SDN. BHD.,training@apu.edu.my,60389925392,,
ARH CENTRUM SDN. BHD.,info.arhcentrum@yahoo.com,60341068195,,
CORE AXIS AGENCY (M) SDN. BHD.,caa6055@hotmail.com,60162271721,,
LINEARGRID TECHNOLOGY SDN. BHD.,fatinnasuha@lineargridtechnology.com,60199918981,,
APEX CERIA SDN. BHD.,info@apexceria.com,60321163412,,
MADCASH SDN. BHD.,kuem@getmadcash.com,60192112025,,
INSAN INISIATIF SDN. BHD.,insan.inisiatif.my@gmail.com,60123044480,,
JBC SOLUTIONS SDN. BHD.,alan@jbc.com.my,60322872322,,
ARCHIATER STUDIO SDN. BHD.,athirah@archiaterstudio.com,60125185970,,
ALEONZ CONSULTANCY SDN. BHD.,eliza@aleonz.com,6.01156E+11,,
BE STRATEGIC SDN. BHD.,hello@bestrategic.asia,60323867575,,
ERGOKINETICS SOLUTION,davidchan@ergokinetics.asia,605238138,,
ASIAPOOLS (M) SDN. BHD.,renu.morgan@asiapools.com.my,60122839829,,
FLY CYCLE STUDIO SDN. BHD.,admin@flyproject.co,60320113399,,
IHT ACADEMY SDN. BHD.,qualitas360@gmail.com,60129001322,,
PRO PARTNERS CONSULTING SDN. BHD.,hannahlaw@propartnersconsultancy.com,6.01161E+11,,
BRAINROOT INTELLIGENCE CONSULTANCY,brainrootintelligence@gmail.com,60176768902,,
MR CONSULTANCY SERVICES PLT,mervin@mrcs.cloud,60122321025,,
LERUS SDN. BHD.,mahayudin@lerus-online.com,60102214472,,
GEMINI EDUCATION CONSULTANCY SDN. BHD.,gemini.education@outlook.com,6.01112E+11,,
IDEAHOLICS SDN. BHD.,swimin12williamkok@gmail.com,6.01156E+11,,
CLEAR MIND SHINE ACADEMY,cchai2005@gmail.com,60192388806,,
GLOW UP WITH SG ENTERPRISE,stepheniegregory@gmail.com,60122569930,,
VARDAAN SDN. BHD.,huda.h@vardaanglobal.co,60327224705,,
THE DIGITAL WORKPLACE SDN. BHD.,lms@officio.work,60133922412,,
PAPERFUN SDN. BHD.,niccol@fungates.com,60379824827,,
LEGAL WARRIOR SDN. BHD.,legalwarriorsdnbhd@gmail.com,60362030208,,
ATELIER L&L SDN. BHD.,lucy@atelierll.com,60162550226,,
INNERGIA LABS SDN. BHD.,info@innergialabs.com,60322019000,,
EXPERTEAM CONSULTANT,et.hamizah@gmail.com,60192620073,,
TRAINWISE SERVICES,trainwise.consultancy@gmail.com,60165335959,,
BE CLOUD SDN. BHD.,kiki.ong@becloud.asia,60122901499,,
MELS SOLUTIONS SDN. BHD.,info@melssolutions.com,60323854275,,
FOX MARKETING SDN. BHD.,megatdaniff@gmail.com,60192785582,,"B-0-3 & B-1-3 BLOCK B,PLAZA DAMAS,JALAN SRI HARTAMAS 1,SRI HARTAMAS,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-50480"
RM APPLICATIONS SDN. BHD.,niza@rma.com.my,60362012677,,
RHAYRICH EMPIRE,rhayrichempire@gmail.com,60124192707,,
KPI CONSULTANCY,training.kpiconsultancy@gmail.com,60162026204,,
